tweet_id,favorite_count,retweet_count,date_time
666020888022790149,2558,521,2015-11-15 22:32:08
666029285002620928,131,47,2015-11-15 23:05:30
666033412701032449,125,45,2015-11-15 23:21:54
666044226329800704,302,141,2015-11-16 00:04:52
666049248165822465,109,40,2015-11-16 00:24:50
666050758794694657,133,58,2015-11-16 00:30:50
666051853826850816,1235,860,2015-11-16 00:35:11
666055525042405380,441,257,2015-11-16 00:49:46
666057090499244032,300,142,2015-11-16 00:55:59
666058600524156928,114,58,2015-11-16 01:01:59
666063827256086533,480,223,2015-11-16 01:22:45
666071193221509120,148,62,2015-11-16 01:52:02
666073100786774016,326,169,2015-11-16 01:59:36
666082916733198337,120,45,2015-11-16 02:38:37
666094000022159362,166,76,2015-11-16 03:22:39
666099513787052032,158,71,2015-11-16 03:44:34
666102155909144576,80,13,2015-11-16 03:55:04
666104133288665088,14465,6699,2015-11-16 04:02:55
666268910803644416,105,36,2015-11-16 14:57:41
666273097616637952,178,77,2015-11-16 15:14:19
666287406224695296,151,68,2015-11-16 16:11:11
666293911632134144,513,359,2015-11-16 16:37:02
666337882303524864,200,94,2015-11-16 19:31:45
666345417576210432,301,142,2015-11-16 20:01:42
666353288456101888,225,74,2015-11-16 20:32:58
666362758909284353,786,579,2015-11-16 21:10:36
666373753744588802,191,95,2015-11-16 21:54:18
666396247373291520,169,87,2015-11-16 23:23:41
666407126856765440,111,41,2015-11-17 00:06:54
666411507551481857,451,333,2015-11-17 00:24:19
666418789513326592,127,47,2015-11-17 00:53:15
666421158376562688,320,116,2015-11-17 01:02:40
666428276349472768,166,86,2015-11-17 01:30:57
666430724426358785,321,200,2015-11-17 01:40:41
666435652385423360,168,54,2015-11-17 02:00:15
666437273139982337,129,50,2015-11-17 02:06:42
666447344410484738,105,22,2015-11-17 02:46:43
666454714377183233,530,215,2015-11-17 03:16:00
666644823164719104,236,85,2015-11-17 15:51:26
666649482315059201,902,595,2015-11-17 16:09:56
666691418707132416,190,48,2015-11-17 18:56:35
666701168228331520,441,224,2015-11-17 19:35:19
666739327293083650,240,67,2015-11-17 22:06:57
666776908487630848,360,179,2015-11-18 00:36:17
666781792255496192,397,203,2015-11-18 00:55:42
666786068205871104,786,503,2015-11-18 01:12:41
666804364988780544,245,94,2015-11-18 02:25:23
666817836334096384,534,259,2015-11-18 03:18:55
666826780179869698,259,101,2015-11-18 03:54:28
666835007768551424,220,82,2015-11-18 04:27:09
666837028449972224,840,568,2015-11-18 04:35:11
666983947667116034,2627,1022,2015-11-18 14:18:59
666996132027977728,249,100,2015-11-18 15:07:24
667012601033924608,462,235,2015-11-18 16:12:51
667044094246576128,193,52,2015-11-18 18:17:59
667062181243039745,223,56,2015-11-18 19:29:52
667065535570550784,171,49,2015-11-18 19:43:11
667073648344346624,415,129,2015-11-18 20:15:26
667090893657276420,341,130,2015-11-18 21:23:57
667119796878725120,338,133,2015-11-18 23:18:48
667138269671505920,4755,2319,2015-11-19 00:32:12
667152164079423490,48892,17820,2015-11-19 01:27:25
667160273090932737,264,65,2015-11-19 01:59:39
667165590075940865,2769,1200,2015-11-19 02:20:46
667171260800061440,228,95,2015-11-19 02:43:18
